Q	H	num	q1	q2	q3	q4	n1	n2	n3	n4	η
0.0	24.5	3	0.0	0.0	0.0	0.0	157.80	157.80	157.80	0.00	0.00%
0.0	24.5	4	0.0	0.0	0.0	0.0	157.80	157.80	157.80	157.80	0.00%
0.0	25.0	1	0.0	0.0	0.0	0.0	159.34	0.00	0.00	0.00	0.00%
0.0	25.0	2	0.0	0.0	0.0	0.0	159.34	159.34	0.00	0.00	0.00%
0.0	25.0	3	0.0	0.0	0.0	0.0	159.34	159.34	159.34	0.00	0.00%
0.0	25.0	4	0.0	0.0	0.0	0.0	159.34	159.34	159.34	159.34	0.00%
0.0	25.5	1	0.0	0.0	0.0	0.0	160.87	0.00	0.00	0.00	0.00%
0.0	25.5	2	0.0	0.0	0.0	0.0	160.87	160.87	0.00	0.00	0.00%
0.0	25.5	3	0.0	0.0	0.0	0.0	160.87	160.87	160.87	0.00	0.00%
0.0	25.5	4	0.0	0.0	0.0	0.0	160.87	160.87	160.87	160.87	0.00%
0.0	26.0	1	0.0	0.0	0.0	0.0	162.42	0.00	0.00	0.00	0.00%
0.0	26.0	2	0.0	0.0	0.0	0.0	162.42	162.42	0.00	0.00	0.00%
0.0	26.0	3	0.0	0.0	0.0	0.0	162.42	162.42	162.42	0.00	0.00%
0.0	26.0	4	0.0	0.0	0.0	0.0	162.42	162.42	162.42	162.42	0.00%
0.0	26.5	1	0.0	0.0	0.0	0.0	163.94	0.00	0.00	0.00	0.00%
0.0	26.5	2	0.0	0.0	0.0	0.0	163.94	163.94	0.00	0.00	0.00%
0.0	26.5	3	0.0	0.0	0.0	0.0	163.94	163.94	163.94	0.00	0.00%
0.0	26.5	4	0.0	0.0	0.0	0.0	163.94	163.94	163.94	163.94	0.00%
0.0	27.0	1	0.0	0.0	0.0	0.0	165.46	0.00	0.00	0.00	0.00%
0.0	27.0	2	0.0	0.0	0.0	0.0	165.46	165.46	0.00	0.00	0.00%
0.0	27.0	3	0.0	0.0	0.0	0.0	165.46	165.46	165.46	0.00	0.00%
0.0	27.0	4	0.0	0.0	0.0	0.0	165.46	165.46	165.46	165.46	0.00%
0.0	27.5	1	0.0	0.0	0.0	0.0	166.99	0.00	0.00	0.00	0.00%
0.0	27.5	2	0.0	0.0	0.0	0.0	166.99	166.99	0.00	0.00	0.00%
0.0	27.5	3	0.0	0.0	0.0	0.0	166.99	166.99	166.99	0.00	0.00%
0.0	27.5	4	0.0	0.0	0.0	0.0	166.99	166.99	166.99	166.99	0.00%
0.0	28.0	1	0.0	0.0	0.0	0.0	168.50	0.00	0.00	0.00	0.00%
0.0	28.0	2	0.0	0.0	0.0	0.0	168.50	168.50	0.00	0.00	0.00%
0.0	28.0	3	0.0	0.0	0.0	0.0	168.50	168.50	168.50	0.00	0.00%
0.0	28.0	4	0.0	0.0	0.0	0.0	168.50	168.50	168.50	168.50	0.00%
0.0	28.5	1	0.0	0.0	0.0	0.0	170.01	0.00	0.00	0.00	0.00%
0.0	28.5	2	0.0	0.0	0.0	0.0	170.01	170.01	0.00	0.00	0.00%
0.0	28.5	3	0.0	0.0	0.0	0.0	170.01	170.01	170.01	0.00	0.00%
0.0	28.5	4	0.0	0.0	0.0	0.0	170.01	170.01	170.01	170.01	0.00%
0.0	29.0	1	0.0	0.0	0.0	0.0	171.52	0.00	0.00	0.00	0.00%
0.0	29.0	2	0.0	0.0	0.0	0.0	171.52	171.52	0.00	0.00	0.00%
0.0	29.0	3	0.0	0.0	0.0	0.0	171.52	171.52	171.52	0.00	0.00%
0.0	29.0	4	0.0	0.0	0.0	0.0	171.52	171.52	171.52	171.52	0.00%
0.0	29.5	1	0.0	0.0	0.0	0.0	173.02	0.00	0.00	0.00	0.00%
0.0	29.5	2	0.0	0.0	0.0	0.0	173.02	173.02	0.00	0.00	0.00%
0.0	29.5	3	0.0	0.0	0.0	0.0	173.02	173.02	173.02	0.00	0.00%
0.0	29.5	4	0.0	0.0	0.0	0.0	173.02	173.02	173.02	173.02	0.00%
0.0	30.0	1	0.0	0.0	0.0	0.0	174.51	0.00	0.00	0.00	0.00%
0.0	30.0	2	0.0	0.0	0.0	0.0	174.51	174.51	0.00	0.00	0.00%
0.0	30.0	3	0.0	0.0	0.0	0.0	174.51	174.51	174.51	0.00	0.00%
0.0	30.0	4	0.0	0.0	0.0	0.0	174.51	174.51	174.51	174.51	0.00%
0.0	30.5	1	0.0	0.0	0.0	0.0	176.01	0.00	0.00	0.00	0.00%
0.0	30.5	2	0.0	0.0	0.0	0.0	176.01	176.01	0.00	0.00	0.00%
0.0	30.5	3	0.0	0.0	0.0	0.0	176.01	176.01	176.01	0.00	0.00%
0.0	30.5	4	0.0	0.0	0.0	0.0	176.01	176.01	176.01	176.01	0.00%
0.0	31.0	1	0.0	0.0	0.0	0.0	177.49	0.00	0.00	0.00	0.00%
0.0	31.0	2	0.0	0.0	0.0	0.0	177.49	177.49	0.00	0.00	0.00%
0.0	31.0	3	0.0	0.0	0.0	0.0	177.49	177.49	177.49	0.00	0.00%
0.0	31.0	4	0.0	0.0	0.0	0.0	177.49	177.49	177.49	177.49	0.00%
0.0	31.5	1	0.0	0.0	0.0	0.0	178.97	0.00	0.00	0.00	0.00%
0.0	31.5	2	0.0	0.0	0.0	0.0	178.97	178.97	0.00	0.00	0.00%
0.0	31.5	3	0.0	0.0	0.0	0.0	178.97	178.97	178.97	0.00	0.00%
0.0	31.5	4	0.0	0.0	0.0	0.0	178.97	178.97	178.97	178.97	0.00%
0.0	32.0	1	0.0	0.0	0.0	0.0	180.45	0.00	0.00	0.00	0.00%
0.0	32.0	2	0.0	0.0	0.0	0.0	180.45	180.45	0.00	0.00	0.00%
0.0	32.0	3	0.0	0.0	0.0	0.0	180.45	180.45	180.45	0.00	0.00%
0.0	32.0	4	0.0	0.0	0.0	0.0	180.45	180.45	180.45	180.45	0.00%
0.0	32.5	1	0.0	0.0	0.0	0.0	181.91	0.00	0.00	0.00	0.00%
0.0	32.5	2	0.0	0.0	0.0	0.0	181.91	181.91	0.00	0.00	0.00%
0.0	32.5	3	0.0	0.0	0.0	0.0	181.91	181.91	181.91	0.00	0.00%
0.0	32.5	4	0.0	0.0	0.0	0.0	181.91	181.91	181.91	181.91	0.00%
0.0	33.0	1	0.0	0.0	0.0	0.0	183.38	0.00	0.00	0.00	0.00%
0.0	33.0	2	0.0	0.0	0.0	0.0	183.38	183.38	0.00	0.00	0.00%
0.0	33.0	3	0.0	0.0	0.0	0.0	183.38	183.38	183.38	0.00	0.00%
0.0	33.0	4	0.0	0.0	0.0	0.0	183.38	183.38	183.38	183.38	0.00%
0.0	33.5	1	0.0	0.0	0.0	0.0	184.84	0.00	0.00	0.00	0.00%
0.0	33.5	2	0.0	0.0	0.0	0.0	184.84	184.84	0.00	0.00	0.00%
0.0	33.5	3	0.0	0.0	0.0	0.0	184.84	184.84	184.84	0.00	0.00%
0.0	33.5	4	0.0	0.0	0.0	0.0	184.84	184.84	184.84	184.84	0.00%
0.0	34.0	1	0.0	0.0	0.0	0.0	186.30	0.00	0.00	0.00	0.00%
0.0	34.0	2	0.0	0.0	0.0	0.0	186.30	186.30	0.00	0.00	0.00%
0.0	34.0	3	0.0	0.0	0.0	0.0	186.30	186.30	186.30	0.00	0.00%
0.0	34.0	4	0.0	0.0	0.0	0.0	186.30	186.30	186.30	186.30	0.00%
0.0	34.5	1	0.0	0.0	0.0	0.0	187.75	0.00	0.00	0.00	0.00%
0.0	34.5	2	0.0	0.0	0.0	0.0	187.75	187.75	0.00	0.00	0.00%
0.0	34.5	3	0.0	0.0	0.0	0.0	187.75	187.75	187.75	0.00	0.00%
0.0	34.5	4	0.0	0.0	0.0	0.0	187.75	187.75	187.75	187.75	0.00%
0.0	35.0	1	0.0	0.0	0.0	0.0	189.20	0.00	0.00	0.00	0.00%
0.0	35.0	2	0.0	0.0	0.0	0.0	189.20	189.20	0.00	0.00	0.00%
0.0	35.0	3	0.0	0.0	0.0	0.0	189.20	189.20	189.20	0.00	0.00%
0.0	35.0	4	0.0	0.0	0.0	0.0	189.20	189.20	189.20	189.20	0.00%
0.0	35.5	1	0.0	0.0	0.0	0.0	190.64	0.00	0.00	0.00	0.00%
0.0	35.5	2	0.0	0.0	0.0	0.0	190.64	190.64	0.00	0.00	0.00%
0.0	35.5	3	0.0	0.0	0.0	0.0	190.64	190.64	190.64	0.00	0.00%
0.0	35.5	4	0.0	0.0	0.0	0.0	190.64	190.64	190.64	190.64	0.00%
0.0	36.0	1	0.0	0.0	0.0	0.0	192.08	0.00	0.00	0.00	0.00%
0.0	36.0	2	0.0	0.0	0.0	0.0	192.08	192.08	0.00	0.00	0.00%
0.0	36.0	3	0.0	0.0	0.0	0.0	192.08	192.08	192.08	0.00	0.00%
0.0	36.0	4	0.0	0.0	0.0	0.0	192.08	192.08	192.08	192.08	0.00%
0.0	36.5	1	0.0	0.0	0.0	0.0	193.51	0.00	0.00	0.00	0.00%
0.0	36.5	2	0.0	0.0	0.0	0.0	193.51	193.51	0.00	0.00	0.00%
0.0	36.5	3	0.0	0.0	0.0	0.0	193.51	193.51	193.51	0.00	0.00%
0.0	36.5	4	0.0	0.0	0.0	0.0	193.51	193.51	193.51	193.51	0.00%
0.0	37.0	1	0.0	0.0	0.0	0.0	194.94	0.00	0.00	0.00	0.00%
0.0	37.0	2	0.0	0.0	0.0	0.0	194.94	194.94	0.00	0.00	0.00%
0.0	37.0	3	0.0	0.0	0.0	0.0	194.94	194.94	194.94	0.00	0.00%
0.0	37.0	4	0.0	0.0	0.0	0.0	194.94	194.94	194.94	194.94	0.00%
0.0	37.5	1	0.0	0.0	0.0	0.0	196.36	0.00	0.00	0.00	0.00%
0.0	37.5	2	0.0	0.0	0.0	0.0	196.36	196.36	0.00	0.00	0.00%
0.0	37.5	3	0.0	0.0	0.0	0.0	196.36	196.36	196.36	0.00	0.00%
0.0	37.5	4	0.0	0.0	0.0	0.0	196.36	196.36	196.36	196.36	0.00%
0.0	38.0	1	0.0	0.0	0.0	0.0	197.77	0.00	0.00	0.00	0.00%
0.0	38.0	2	0.0	0.0	0.0	0.0	197.77	197.77	0.00	0.00	0.00%
0.0	38.0	3	0.0	0.0	0.0	0.0	197.77	197.77	197.77	0.00	0.00%
0.0	38.0	4	0.0	0.0	0.0	0.0	197.77	197.77	197.77	197.77	0.00%
0.0	38.5	1	0.0	0.0	0.0	0.0	199.19	0.00	0.00	0.00	0.00%
0.0	38.5	2	0.0	0.0	0.0	0.0	199.19	199.19	0.00	0.00	0.00%
0.0	38.5	3	0.0	0.0	0.0	0.0	199.19	199.19	199.19	0.00	0.00%
0.0	38.5	4	0.0	0.0	0.0	0.0	199.19	199.19	199.19	199.19	0.00%
0.0	39.0	1	0.0	0.0	0.0	0.0	200.60	0.00	0.00	0.00	0.00%
0.0	39.0	2	0.0	0.0	0.0	0.0	200.60	200.60	0.00	0.00	0.00%
0.0	39.0	3	0.0	0.0	0.0	0.0	200.60	200.60	200.60	0.00	0.00%
